Name,Place,Rating,Phone,Price Range (USD/night),Latitude,Longitude
Hotel Yak & Yeti,Kathmandu,⭐ 4.5,+977-1-4248999,$120 – $350,27.7138,85.3174
Hyatt Regency Kathmandu,Kathmandu,⭐ 4.6,+977-1-4491234,$150 – $400,27.7221,85.3589
Dwarika's Hotel,Kathmandu,⭐ 4.8,+977-1-4479488,$180 – $450,27.7119,85.3421
Hotel Shanker,Kathmandu,⭐ 4.3,+977-1-4410151,$80 – $200,27.7196,85.3165
Hotel Mulberry,Kathmandu,⭐ 4.2,+977-1-4782900,$60 – $130,27.693,85.3373
Boudha Stupa Guesthouse,Kathmandu,⭐ 4.1,+977-1-4470844,$25 – $70,27.7219,85.3617
Temple Tree Resort,Pokhara,⭐ 4.4,+977-61-465120,$80 – $180,28.2137,83.9571
Fish Tail Lodge,Pokhara,⭐ 4.5,+977-61-465071,$100 – $250,28.2041,83.9502
Pavilions Himalayas,Pokhara,⭐ 4.9,+977-61-690069,$300 – $700,28.2568,83.974
Hotel Middle Path,Pokhara,⭐ 4.0,+977-61-461310,$20 – $60,28.2096,83.9548
Shangrila Village Resort,Pokhara,⭐ 4.3,+977-61-462222,$60 – $150,28.2512,83.9606
Meghauli Serai (Taj),Chitwan,⭐ 4.8,+977-56-560090,$400 – $900,27.6037,84.1264
Tiger Tops Tharu Lodge,Chitwan,⭐ 4.6,+977-1-4361500,$150 – $350,27.598,84.101
Hotel Chitwan Gaida,Chitwan,⭐ 4.1,+977-56-580114,$40 – $100,27.5706,84.4971
Kasara Resort,Chitwan,⭐ 4.3,+977-56-580109,$80 – $160,27.573,84.501
Hotel Lumbini Garden,Rupandehi,⭐ 4.0,+977-71-580236,$30 – $80,27.4845,83.2756
Hotel Nagarkot Cottage,Bhaktapur,⭐ 4.2,+977-1-6680477,$40 – $120,27.7153,85.5181
The Fort Resort Nagarkot,Bhaktapur,⭐ 4.5,+977-1-6680869,$80 – $200,27.72,85.522
Hotel Namche,Solukhumbu,⭐ 3.9,+977-9843000001,$15 – $40,27.8059,86.7142
Bandipur Village Resort,Tanahun,⭐ 4.3,+977-65-560045,$35 – $90,27.9322,84.4197
